match_id,home_team,home_team_id,away_team,away_team_id,winner,competition,match_date,target,home_team_name,home_position,home_played_games,home_won,home_draw,home_lost,home_points,home_goals_for,home_goals_against,home_goal_difference,away_team_name,away_position,away_played_games,away_won,away_draw,away_lost,away_points,away_goals_for,away_goals_against,away_goal_difference
498619,RCD Mallorca,89,Real Madrid CF,86,Draw,Primera Division,2024-08-18T19:30:00Z,draw,RCD Mallorca,10,4,1,2,1,5,2,2,0,Real Madrid CF,2,4,2,2,0,8,7,2,5
498631,Real Madrid CF,86,Real Valladolid CF,250,Real Madrid CF,Primera Division,2024-08-25T15:00:00Z,draw,Real Madrid CF,2,4,2,2,0,8,7,2,5,Real Valladolid CF,15,4,1,1,2,4,1,10,-9
498641,UD Las Palmas,275,Real Madrid CF,86,Draw,Primera Division,2024-08-29T19:30:00Z,draw,UD Las Palmas,18,4,0,2,2,2,4,7,-3,Real Madrid CF,2,4,2,2,0,8,7,2,5
498651,Real Madrid CF,86,Real Betis Balompié,90,Real Madrid CF,Primera Division,2024-09-01T19:30:00Z,draw,Real Madrid CF,2,4,2,2,0,8,7,2,5,Real Betis Balompié,17,3,0,2,1,2,1,3,-2
